threshold,partition,runtime,num_communities,modularity,conductance,community_sizes
0.05,"[ 0  0  0  0  0  1  0  0  0  0  0 10  0  2  0  5  0  0  0  0  5  0  0  0
  0  0  0  0  0  7  0  0  0  0  0  0  0  0  0  6  0  2  0  0  0  0  0  0
  0  0  7  3  0  0  0  0  0  3  0  0  0  0  0  2  0  0  0  0  4  0  0  0
  1  0  0  0  8  4  0  9  1  0  0  1  0  0  0  8  0  0  0  0  0  0  6  9
  0  0  0  0  0  0  3  0  0  0  0  0  0  1  0  0  0  0  2  4  0 10  0  0
  0  0  0  0]",0.013925313949584961,11,0.2547425474254754,0.0,"[97, 5, 4, 3, 3, 2, 2, 2, 2, 2, 2]"
0.06,"[0 0 0 0 0 0 0 0 0 0 9 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 5 0 0 5 0 0 0 0 0 0 0 7 0 0 8 6 0
 0 6 0 0 0 7 0 0 0 0 0 2 8 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0
 0 0 0]",0.006559848785400391,10,0.17430237401083157,0.0,"[96, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
0.07,"[0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 3 0 0 0 0 0 0 0 4 0 5 0 0 5 0 0 0 0 0 0 0 7 0 0 6 0 0 6 0 0 0
 7 0 0 0 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 1 8 0 0 0 0 0 9]",0.003991842269897461,10,0.20612730517549285,0.0,"[89, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
0.08,"[0 0 0 0 0 0 2 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 4 6 3 0 3 0 0 0 4 0 0 0 5 0
 0 0 0 0 0 0 0 0 5 0 8 0 0 0 0 9 6 0 0 7 8 0 0 0 0 9]",0.003108978271484375,10,0.23877551020407037,0.0,"[82, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
0.09,"[0 0 0 0 0 2 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 4 6 3 0 3 0 0 0 4 0 0 5 0 0 0 0 0 0 5
 0 8 0 0 0 0 6 0 0 7 8 0 1 0 0]",0.0035054683685302734,9,0.25050272910081667,0.0,"[73, 2, 2, 2, 2, 2, 2, 2, 2]"
0.1,"[0 0 0 0 2 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 2 0 4 5 3 0 3 0 0 0 4 0 0 0 0 0 0 0 0 7 0 0 0 5 0 0 6 7 0
 1 0 0]",0.0016667842864990234,8,0.26736111111110566,0.0,"[63, 2, 2, 2, 2, 2, 2, 2]"
0.11,"[0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 2 0 4 5 3 0 3 0 0 4 0 0 0 0 0 0 0 7 0 0 0 5 0 0 6 7 0 2 0 0]",0.002538442611694336,8,0.3081499107674124,0.0,"[54, 2, 2, 2, 2, 2, 2, 2]"
0.12,"[0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0
 4 5 3 0 3 0 0 4 0 0 0 0 0 0 0 0 5 0 0 6 0 2 0 0]",0.0009951591491699219,7,0.30857142857141867,0.0,"[49, 2, 2, 2, 2, 2, 2]"
0.13,"[0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 2 4 3 0
 3 0 0 0 5 0 0 0 0 0 4 5 0 6 0 1 0 0]",0.0010046958923339844,7,0.34339229968782703,0.0,"[43, 2, 2, 2, 2, 2, 2]"
0.14,"[0 0 0 0 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 0 3 0 0 0 4
 0 0 0 0 0 4 5 0 2 0 0]",0.0010082721710205078,6,0.34023668639052684,0.0,"[38, 2, 2, 2, 2, 2]"
